Type,Subtype,Subset,Filter,Genotype,QQ.Field,QQ,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,FP.gt,FP.al,Subset.Size,Subset.IS_CONF.Size,Subset.Level,TRUTH.TOTAL,TRUTH.TOTAL.ti,TRUTH.TOTAL.tv,TRUTH.TOTAL.het,TRUTH.TOTAL.homalt,TRUTH.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,TRUTH.TP,TRUTH.TP.ti,TRUTH.TP.tv,TRUTH.TP.het,TRUTH.TP.homalt,TRUTH.TP.TiTv_ratio,TRUTH.TP.het_hom_ratio,TRUTH.FN,TRUTH.FN.ti,TRUTH.FN.tv,TRUTH.FN.het,TRUTH.FN.homalt,TRUTH.FN.TiTv_ratio,TRUTH.FN.het_hom_ratio,QUERY.TOTAL,QUERY.TOTAL.ti,QUERY.TOTAL.tv,QUERY.TOTAL.het,QUERY.TOTAL.homalt,QUERY.TOTAL.TiTv_ratio,QUERY.TOTAL.het_hom_ratio,QUERY.TP,QUERY.TP.ti,QUERY.TP.tv,QUERY.TP.het,QUERY.TP.homalt,QUERY.TP.TiTv_ratio,QUERY.TP.het_hom_ratio,QUERY.FP,QUERY.FP.ti,QUERY.FP.tv,QUERY.FP.het,QUERY.FP.homalt,QUERY.FP.TiTv_ratio,QUERY.FP.het_hom_ratio,QUERY.UNK,QUERY.UNK.ti,QUERY.UNK.tv,QUERY.UNK.het,QUERY.UNK.homalt,QUERY.UNK.TiTv_ratio,QUERY.UNK.het_hom_ratio
INDEL,*,*,ALL,*,QUAL,*,0.81867,0.905063,0.248032,0.859702,539,0,41689983,32971317.000000,0.000000,9116,.,.,5116.000000,3597.000000,,1.42229635808,7463,.,.,4046.000000,3280.000000,,1.23353658537,1653,.,.,1070.000000,317.000000,,3.37539432177,10926,.,.,5630.000000,4703.000000,,1.19710822879,7436,.,.,3987.000000,3255.000000,,1.22488479263,780,.,.,252.000000,360.000000,,0.7,2710,.,.,1391.000000,1088.000000,,1.27849264706
INDEL,*,*,PASS,*,QUAL,*,0.81867,0.905063,0.248032,0.859702,539,0,41689983,32971317.000000,0.000000,9116,.,.,5116.000000,3597.000000,,1.42229635808,7463,.,.,4046.000000,3280.000000,,1.23353658537,1653,.,.,1070.000000,317.000000,,3.37539432177,10926,.,.,5630.000000,4703.000000,,1.19710822879,7436,.,.,3987.000000,3255.000000,,1.22488479263,780,.,.,252.000000,360.000000,,0.7,2710,.,.,1391.000000,1088.000000,,1.27849264706
INDEL,*,TS_boundary,ALL,*,QUAL,*,0.25,0.181818,0.633333,0.210526,14,0,41689983.000000,32971317.000000,0.000000,36,.,.,17.000000,13.000000,,1.30769230769,9,.,.,6.000000,3.000000,,2.0,27,.,.,11.000000,10.000000,,1.1,60,.,.,26.000000,26.000000,,1.0,4,.,.,3.000000,1.000000,,3.0,18,.,.,9.000000,7.000000,,1.28571428571,38,.,.,14.000000,18.000000,,0.777777777778
INDEL,*,TS_boundary,PASS,*,QUAL,*,0.25,0.181818,0.633333,0.210526,14,0,41689983.000000,32971317.000000,0.000000,36,.,.,17.000000,13.000000,,1.30769230769,9,.,.,6.000000,3.000000,,2.0,27,.,.,11.000000,10.000000,,1.1,60,.,.,26.000000,26.000000,,1.0,4,.,.,3.000000,1.000000,,3.0,18,.,.,9.000000,7.000000,,1.28571428571,38,.,.,14.000000,18.000000,,0.777777777778
INDEL,*,TS_contained,ALL,*,QUAL,*,0.820925,0.907005,0.0,0.861821,525,0,32971317.000000,32971317.000000,0.000000,9080,.,.,5099.000000,3584.000000,,1.42271205357,7454,.,.,4040.000000,3277.000000,,1.23283490998,1626,.,.,1059.000000,307.000000,,3.44951140065,8194,.,.,4227.000000,3607.000000,,1.17188799556,7432,.,.,3984.000000,3254.000000,,1.22433927474,762,.,.,243.000000,353.000000,,0.688385269122,0,.,.,0.000000,0.000000,,
INDEL,*,TS_contained,PASS,*,QUAL,*,0.820925,0.907005,0.0,0.861821,525,0,32971317.000000,32971317.000000,0.000000,9080,.,.,5099.000000,3584.000000,,1.42271205357,7454,.,.,4040.000000,3277.000000,,1.23283490998,1626,.,.,1059.000000,307.000000,,3.44951140065,8194,.,.,4227.000000,3607.000000,,1.17188799556,7432,.,.,3984.000000,3254.000000,,1.22433927474,762,.,.,243.000000,353.000000,,0.688385269122,0,.,.,0.000000,0.000000,,
INDEL,C16_PLUS,*,ALL,*,QUAL,*,0.0,0.0,0.307692,,0,0,41689983,32971317.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,13,.,.,0.000000,13.000000,,0.0,0,.,.,0.000000,0.000000,,,9,.,.,0.000000,9.000000,,0.0,4,.,.,0.000000,4.000000,,0.0
INDEL,C16_PLUS,*,PASS,*,QUAL,*,0.0,0.0,0.307692,,0,0,41689983,32971317.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,13,.,.,0.000000,13.000000,,0.0,0,.,.,0.000000,0.000000,,,9,.,.,0.000000,9.000000,,0.0,4,.,.,0.000000,4.000000,,0.0
INDEL,C16_PLUS,TS_boundary,ALL,*,QUAL,*,0.0,0.0,0.0,,0,0,41689983.000000,32971317.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C16_PLUS,TS_boundary,PASS,*,QUAL,*,0.0,0.0,0.0,,0,0,41689983.000000,32971317.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
