Type,Subtype,Subset,Filter,Genotype,QQ.Field,QQ,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,FP.gt,FP.al,Subset.Size,Subset.IS_CONF.Size,Subset.Level,TRUTH.TOTAL,TRUTH.TOTAL.ti,TRUTH.TOTAL.tv,TRUTH.TOTAL.het,TRUTH.TOTAL.homalt,TRUTH.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,TRUTH.TP,TRUTH.TP.ti,TRUTH.TP.tv,TRUTH.TP.het,TRUTH.TP.homalt,TRUTH.TP.TiTv_ratio,TRUTH.TP.het_hom_ratio,TRUTH.FN,TRUTH.FN.ti,TRUTH.FN.tv,TRUTH.FN.het,TRUTH.FN.homalt,TRUTH.FN.TiTv_ratio,TRUTH.FN.het_hom_ratio,QUERY.TOTAL,QUERY.TOTAL.ti,QUERY.TOTAL.tv,QUERY.TOTAL.het,QUERY.TOTAL.homalt,QUERY.TOTAL.TiTv_ratio,QUERY.TOTAL.het_hom_ratio,QUERY.TP,QUERY.TP.ti,QUERY.TP.tv,QUERY.TP.het,QUERY.TP.homalt,QUERY.TP.TiTv_ratio,QUERY.TP.het_hom_ratio,QUERY.FP,QUERY.FP.ti,QUERY.FP.tv,QUERY.FP.het,QUERY.FP.homalt,QUERY.FP.TiTv_ratio,QUERY.FP.het_hom_ratio,QUERY.UNK,QUERY.UNK.ti,QUERY.UNK.tv,QUERY.UNK.het,QUERY.UNK.homalt,QUERY.UNK.TiTv_ratio,QUERY.UNK.het_hom_ratio
INDEL,*,*,ALL,*,QUAL,*,0.939623,0.96469,0.364601,0.951992,63,0,41689983,32971317.000000,0.000000,9126,.,.,5125.000000,3598.000000,,1.4244024458,8575,.,.,4655.000000,3560.000000,,1.30758426966,551,.,.,470.000000,38.000000,,12.3684210526,14040,.,.,8380.000000,4832.000000,,1.73427152318,8606,.,.,4665.000000,3584.000000,,1.30161830357,315,.,.,211.000000,58.000000,,3.63793103448,5119,.,.,3504.000000,1190.000000,,2.94453781513
INDEL,*,*,PASS,*,QUAL,*,0.939623,0.964798,0.363494,0.952044,63,0,41689983,32971317.000000,0.000000,9126,.,.,5125.000000,3598.000000,,1.4244024458,8575,.,.,4655.000000,3560.000000,,1.30758426966,551,.,.,470.000000,38.000000,,12.3684210526,14014,.,.,8355.000000,4831.000000,,1.72945559925,8606,.,.,4665.000000,3584.000000,,1.30161830357,314,.,.,210.000000,58.000000,,3.62068965517,5094,.,.,3480.000000,1189.000000,,2.92682926829
INDEL,*,TS_boundary,ALL,*,QUAL,*,0.84,0.48,0.618321,0.610909,2,0,41689983.000000,32971317.000000,0.000000,25,.,.,15.000000,9.000000,,1.66666666667,21,.,.,11.000000,9.000000,,1.22222222222,4,.,.,4.000000,0.000000,,,131,.,.,76.000000,49.000000,,1.55102040816,24,.,.,10.000000,13.000000,,0.769230769231,26,.,.,19.000000,3.000000,,6.33333333333,81,.,.,47.000000,33.000000,,1.42424242424
INDEL,*,TS_boundary,PASS,*,QUAL,*,0.84,0.48,0.618321,0.610909,2,0,41689983.000000,32971317.000000,0.000000,25,.,.,15.000000,9.000000,,1.66666666667,21,.,.,11.000000,9.000000,,1.22222222222,4,.,.,4.000000,0.000000,,,131,.,.,76.000000,49.000000,,1.55102040816,24,.,.,10.000000,13.000000,,0.769230769231,26,.,.,19.000000,3.000000,,6.33333333333,81,.,.,47.000000,33.000000,,1.42424242424
INDEL,*,TS_contained,ALL,*,QUAL,*,0.939897,0.967422,0.0,0.953461,61,0,32971317.000000,32971317.000000,0.000000,9101,.,.,5110.000000,3589.000000,,1.42379492895,8554,.,.,4644.000000,3551.000000,,1.30780061954,547,.,.,466.000000,38.000000,,12.2631578947,8871,.,.,4847.000000,3626.000000,,1.33673469388,8582,.,.,4655.000000,3571.000000,,1.30355642677,289,.,.,192.000000,55.000000,,3.49090909091,0,.,.,0.000000,0.000000,,
INDEL,*,TS_contained,PASS,*,QUAL,*,0.939897,0.967531,0.0,0.953514,61,0,32971317.000000,32971317.000000,0.000000,9101,.,.,5110.000000,3589.000000,,1.42379492895,8554,.,.,4644.000000,3551.000000,,1.30780061954,547,.,.,466.000000,38.000000,,12.2631578947,8870,.,.,4846.000000,3626.000000,,1.33645890789,8582,.,.,4655.000000,3571.000000,,1.30355642677,288,.,.,191.000000,55.000000,,3.47272727273,0,.,.,0.000000,0.000000,,
INDEL,C16_PLUS,*,ALL,*,QUAL,*,0.0,0.0,0.0,,0,0,41689983,32971317.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C16_PLUS,*,PASS,*,QUAL,*,0.0,0.0,0.0,,0,0,41689983,32971317.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C16_PLUS,TS_boundary,ALL,*,QUAL,*,0.0,0.0,0.0,,0,0,41689983.000000,32971317.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C16_PLUS,TS_boundary,PASS,*,QUAL,*,0.0,0.0,0.0,,0,0,41689983.000000,32971317.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
