Type,Subtype,Subset,Filter,Genotype,QQ.Field,QQ,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,FP.gt,FP.al,Subset.Size,Subset.IS_CONF.Size,Subset.Level,TRUTH.TOTAL,TRUTH.TOTAL.ti,TRUTH.TOTAL.tv,TRUTH.TOTAL.het,TRUTH.TOTAL.homalt,TRUTH.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,TRUTH.TP,TRUTH.TP.ti,TRUTH.TP.tv,TRUTH.TP.het,TRUTH.TP.homalt,TRUTH.TP.TiTv_ratio,TRUTH.TP.het_hom_ratio,TRUTH.FN,TRUTH.FN.ti,TRUTH.FN.tv,TRUTH.FN.het,TRUTH.FN.homalt,TRUTH.FN.TiTv_ratio,TRUTH.FN.het_hom_ratio,QUERY.TOTAL,QUERY.TOTAL.ti,QUERY.TOTAL.tv,QUERY.TOTAL.het,QUERY.TOTAL.homalt,QUERY.TOTAL.TiTv_ratio,QUERY.TOTAL.het_hom_ratio,QUERY.TP,QUERY.TP.ti,QUERY.TP.tv,QUERY.TP.het,QUERY.TP.homalt,QUERY.TP.TiTv_ratio,QUERY.TP.het_hom_ratio,QUERY.FP,QUERY.FP.ti,QUERY.FP.tv,QUERY.FP.het,QUERY.FP.homalt,QUERY.FP.TiTv_ratio,QUERY.FP.het_hom_ratio,QUERY.UNK,QUERY.UNK.ti,QUERY.UNK.tv,QUERY.UNK.het,QUERY.UNK.homalt,QUERY.UNK.TiTv_ratio,QUERY.UNK.het_hom_ratio
INDEL,*,*,ALL,*,QUAL,*,0.962419,0.96597,0.432501,0.964191,98,0,41689983,32971317.000000,0.000000,9127,.,.,5126.000000,3598.000000,,1.42468037799,8784,.,.,4875.000000,3532.000000,,1.38023782559,343,.,.,251.000000,66.000000,,3.80303030303,16104,.,.,10190.000000,4801.000000,,2.12247448448,8828,.,.,4880.000000,3577.000000,,1.36427173609,311,.,.,156.000000,65.000000,,2.4,6965,.,.,5154.000000,1159.000000,,4.44693701467
INDEL,*,*,PASS,*,QUAL,*,0.676126,0.983142,0.151073,0.80123,46,0,41689983,32971317.000000,0.000000,9127,.,.,5126.000000,3598.000000,,1.42468037799,6171,.,.,3109.000000,2883.000000,,1.07839056538,2956,.,.,2017.000000,715.000000,,2.82097902098,7407,.,.,3862.000000,3162.000000,,1.22137887413,6182,.,.,3111.000000,2893.000000,,1.07535430349,106,.,.,42.000000,25.000000,,1.68,1119,.,.,709.000000,244.000000,,2.90573770492
INDEL,*,TS_boundary,ALL,*,QUAL,*,0.4375,0.727273,0.704301,0.546341,2,0,41689983.000000,32971317.000000,0.000000,16,.,.,12.000000,3.000000,,4.0,7,.,.,4.000000,2.000000,,2.0,9,.,.,8.000000,1.000000,,8.0,186,.,.,79.000000,90.000000,,0.877777777778,40,.,.,6.000000,34.000000,,0.176470588235,15,.,.,10.000000,1.000000,,10.0,131,.,.,63.000000,55.000000,,1.14545454545
INDEL,*,TS_boundary,PASS,*,QUAL,*,0.0625,0.428571,0.740741,0.109091,1,0,41689983.000000,32971317.000000,0.000000,16,.,.,12.000000,3.000000,,4.0,1,.,.,1.000000,0.000000,,,15,.,.,11.000000,3.000000,,3.66666666667,27,.,.,16.000000,8.000000,,2.0,3,.,.,2.000000,1.000000,,2.0,4,.,.,3.000000,1.000000,,3.0,20,.,.,11.000000,6.000000,,1.83333333333
INDEL,*,TS_contained,ALL,*,QUAL,*,0.963341,0.967415,0.0,0.965374,96,0,32971317.000000,32971317.000000,0.000000,9111,.,.,5114.000000,3595.000000,,1.42253129346,8777,.,.,4871.000000,3530.000000,,1.37988668555,334,.,.,243.000000,65.000000,,3.73846153846,9084,.,.,5020.000000,3607.000000,,1.39173828666,8788,.,.,4874.000000,3543.000000,,1.37567033587,296,.,.,146.000000,64.000000,,2.28125,0,.,.,0.000000,0.000000,,
INDEL,*,TS_contained,PASS,*,QUAL,*,0.677203,0.983761,0.0,0.802192,45,0,32971317.000000,32971317.000000,0.000000,9111,.,.,5114.000000,3595.000000,,1.42253129346,6170,.,.,3108.000000,2883.000000,,1.07804370447,2941,.,.,2006.000000,712.000000,,2.81741573034,6281,.,.,3148.000000,2916.000000,,1.07956104252,6179,.,.,3109.000000,2892.000000,,1.07503457815,102,.,.,39.000000,24.000000,,1.625,0,.,.,0.000000,0.000000,,
INDEL,C16_PLUS,*,ALL,*,QUAL,*,0.0,0.0,0.0,,0,0,41689983,32971317.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C16_PLUS,*,PASS,*,QUAL,*,0.0,0.0,0.0,,0,0,41689983,32971317.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C16_PLUS,TS_boundary,ALL,*,QUAL,*,0.0,0.0,0.0,,0,0,41689983.000000,32971317.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C16_PLUS,TS_boundary,PASS,*,QUAL,*,0.0,0.0,0.0,,0,0,41689983.000000,32971317.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C16_PLUS,TS_contained,ALL,*,QUAL,*,0.0,0.0,0.0,,0,0,32971317.000000,32971317.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C16_PLUS,TS_contained,PASS,*,QUAL,*,0.0,0.0,0.0,,0,0,32971317.000000,32971317.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C1_5,*,ALL,*,QUAL,*,0.0,0.6,0.444444,0.0,0,0,41689983,32971317.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,9,.,.,5.000000,4.000000,,1.25,3,.,.,0.000000,3.000000,,0.0,2,.,.,1.000000,1.000000,,1.0,4,.,.,4.000000,0.000000,,
INDEL,C1_5,*,PASS,*,QUAL,*,0.0,0.666667,0.0,0.0,0,0,41689983,32971317.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,3,.,.,0.000000,3.000000,,0.0,2,.,.,0.000000,2.000000,,0.0,1,.,.,0.000000,1.000000,,0.0,0,.,.,0.000000,0.000000,,
