Type,Subtype,Subset,Filter,Genotype,QQ.Field,QQ,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,FP.gt,FP.al,Subset.Size,TRUTH.TOTAL,TRUTH.TOTAL.ti,TRUTH.TOTAL.tv,TRUTH.TOTAL.het,TRUTH.TOTAL.homalt,TRUTH.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,TRUTH.TP,TRUTH.TP.ti,TRUTH.TP.tv,TRUTH.TP.het,TRUTH.TP.homalt,TRUTH.TP.TiTv_ratio,TRUTH.TP.het_hom_ratio,TRUTH.FN,TRUTH.FN.ti,TRUTH.FN.tv,TRUTH.FN.het,TRUTH.FN.homalt,TRUTH.FN.TiTv_ratio,TRUTH.FN.het_hom_ratio,QUERY.TOTAL,QUERY.TOTAL.ti,QUERY.TOTAL.tv,QUERY.TOTAL.het,QUERY.TOTAL.homalt,QUERY.TOTAL.TiTv_ratio,QUERY.TOTAL.het_hom_ratio,QUERY.TP,QUERY.TP.ti,QUERY.TP.tv,QUERY.TP.het,QUERY.TP.homalt,QUERY.TP.TiTv_ratio,QUERY.TP.het_hom_ratio,QUERY.FP,QUERY.FP.ti,QUERY.FP.tv,QUERY.FP.het,QUERY.FP.homalt,QUERY.FP.TiTv_ratio,QUERY.FP.het_hom_ratio,QUERY.UNK,QUERY.UNK.ti,QUERY.UNK.tv,QUERY.UNK.het,QUERY.UNK.homalt,QUERY.UNK.TiTv_ratio,QUERY.UNK.het_hom_ratio
INDEL,*,*,ALL,*,QUAL,*,0.934573,0.958096,0.368566,0.946189,18,320,0.000000,9140,.,.,5138.000000,3599.000000,,1.427618783,8542,.,.,4656.000000,3556.000000,,1.30933633296,598,.,.,482.000000,43.000000,,11.2093023256,14475,.,.,9333.000000,4832.000000,,1.93149834437,8757,.,.,5045.000000,3581.000000,,1.40882435074,383,.,.,312.000000,63.000000,,4.95238095238,5335,.,.,3976.000000,1188.000000,,3.3468013468
INDEL,*,*,PASS,*,QUAL,*,0.934573,0.958201,0.367499,0.94624,18,319,0.000000,9140,.,.,5138.000000,3599.000000,,1.427618783,8542,.,.,4656.000000,3556.000000,,1.30933633296,598,.,.,482.000000,43.000000,,11.2093023256,14449,.,.,9308.000000,4831.000000,,1.9267232457,8757,.,.,5045.000000,3581.000000,,1.40882435074,382,.,.,311.000000,63.000000,,4.93650793651,5310,.,.,3952.000000,1187.000000,,3.32940185341
INDEL,*,exons,ALL,*,QUAL,*,0.953704,0.938053,0.181159,0.945814,0,2,638583.000000,108,.,.,55.000000,48.000000,,1.14583333333,103,.,.,52.000000,48.000000,,1.08333333333,5,.,.,3.000000,0.000000,,,138,.,.,78.000000,58.000000,,1.34482758621,106,.,.,58.000000,48.000000,,1.20833333333,7,.,.,4.000000,3.000000,,1.33333333333,25,.,.,16.000000,7.000000,,2.28571428571
INDEL,*,exons,PASS,*,QUAL,*,0.953704,0.938053,0.181159,0.945814,0,2,638583.000000,108,.,.,55.000000,48.000000,,1.14583333333,103,.,.,52.000000,48.000000,,1.08333333333,5,.,.,3.000000,0.000000,,,138,.,.,78.000000,58.000000,,1.34482758621,106,.,.,58.000000,48.000000,,1.20833333333,7,.,.,4.000000,3.000000,,1.33333333333,25,.,.,16.000000,7.000000,,2.28571428571
INDEL,*,exons_ABCG1,ALL,*,QUAL,*,1.0,1.0,0.0,1.0,0,0,3475.000000,1,.,.,1.000000,0.000000,,,1,.,.,1.000000,0.000000,,,0,.,.,0.000000,0.000000,,,1,.,.,1.000000,0.000000,,,1,.,.,1.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,*,exons_ABCG1,PASS,*,QUAL,*,1.0,1.0,0.0,1.0,0,0,3475.000000,1,.,.,1.000000,0.000000,,,1,.,.,1.000000,0.000000,,,0,.,.,0.000000,0.000000,,,1,.,.,1.000000,0.000000,,,1,.,.,1.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,*,exons_ADAMTS1,ALL,*,QUAL,*,1.0,1.0,0.0,1.0,0,0,5191.000000,1,.,.,1.000000,0.000000,,,1,.,.,1.000000,0.000000,,,0,.,.,0.000000,0.000000,,,1,.,.,1.000000,0.000000,,,1,.,.,1.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,*,exons_ADAMTS1,PASS,*,QUAL,*,1.0,1.0,0.0,1.0,0,0,5191.000000,1,.,.,1.000000,0.000000,,,1,.,.,1.000000,0.000000,,,0,.,.,0.000000,0.000000,,,1,.,.,1.000000,0.000000,,,1,.,.,1.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,*,exons_ADAMTS5,ALL,*,QUAL,*,1.0,1.0,0.0,1.0,0,0,9056.000000,2,.,.,2.000000,0.000000,,,2,.,.,2.000000,0.000000,,,0,.,.,0.000000,0.000000,,,2,.,.,2.000000,0.000000,,,2,.,.,2.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,*,exons_ADAMTS5,PASS,*,QUAL,*,1.0,1.0,0.0,1.0,0,0,9056.000000,2,.,.,2.000000,0.000000,,,2,.,.,2.000000,0.000000,,,0,.,.,0.000000,0.000000,,,2,.,.,2.000000,0.000000,,,2,.,.,2.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,*,exons_ADARB1,ALL,*,QUAL,*,1.0,1.0,0.5,1.0,0,0,6604.000000,1,.,.,1.000000,0.000000,,,1,.,.,1.000000,0.000000,,,0,.,.,0.000000,0.000000,,,2,.,.,2.000000,0.000000,,,1,.,.,1.000000,0.000000,,,0,.,.,0.000000,0.000000,,,1,.,.,1.000000,0.000000,,
INDEL,*,exons_ADARB1,PASS,*,QUAL,*,1.0,1.0,0.5,1.0,0,0,6604.000000,1,.,.,1.000000,0.000000,,,1,.,.,1.000000,0.000000,,,0,.,.,0.000000,0.000000,,,2,.,.,2.000000,0.000000,,,1,.,.,1.000000,0.000000,,,0,.,.,0.000000,0.000000,,,1,.,.,1.000000,0.000000,,
INDEL,*,exons_AGPAT3,ALL,*,QUAL,*,1.0,1.0,0.0,1.0,0,0,5546.000000,1,.,.,1.000000,0.000000,,,1,.,.,1.000000,0.000000,,,0,.,.,0.000000,0.000000,,,1,.,.,1.000000,0.000000,,,1,.,.,1.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,*,exons_AGPAT3,PASS,*,QUAL,*,1.0,1.0,0.0,1.0,0,0,5546.000000,1,.,.,1.000000,0.000000,,,1,.,.,1.000000,0.000000,,,0,.,.,0.000000,0.000000,,,1,.,.,1.000000,0.000000,,,1,.,.,1.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,*,exons_BACH1,ALL,*,QUAL,*,1.0,1.0,0.0,1.0,0,0,5669.000000,1,.,.,0.000000,1.000000,,0.0,1,.,.,0.000000,1.000000,,0.0,0,.,.,0.000000,0.000000,,,1,.,.,0.000000,1.000000,,0.0,1,.,.,0.000000,1.000000,,0.0,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,*,exons_BACH1,PASS,*,QUAL,*,1.0,1.0,0.0,1.0,0,0,5669.000000,1,.,.,0.000000,1.000000,,0.0,1,.,.,0.000000,1.000000,,0.0,0,.,.,0.000000,0.000000,,,1,.,.,0.000000,1.000000,,0.0,1,.,.,0.000000,1.000000,,0.0,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,*,exons_BRWD1,ALL,*,QUAL,*,1.0,1.0,0.0,1.0,0,0,10141.000000,2,.,.,2.000000,0.000000,,,2,.,.,2.000000,0.000000,,,0,.,.,0.000000,0.000000,,,2,.,.,2.000000,0.000000,,,2,.,.,2.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,*,exons_BRWD1,PASS,*,QUAL,*,1.0,1.0,0.0,1.0,0,0,10141.000000,2,.,.,2.000000,0.000000,,,2,.,.,2.000000,0.000000,,,0,.,.,0.000000,0.000000,,,2,.,.,2.000000,0.000000,,,2,.,.,2.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,*,exons_BTG3,ALL,*,QUAL,*,1.0,1.0,0.0,1.0,0,0,1485.000000,1,.,.,1.000000,0.000000,,,1,.,.,1.000000,0.000000,,,0,.,.,0.000000,0.000000,,,1,.,.,1.000000,0.000000,,,1,.,.,1.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,*,exons_BTG3,PASS,*,QUAL,*,1.0,1.0,0.0,1.0,0,0,1485.000000,1,.,.,1.000000,0.000000,,,1,.,.,1.000000,0.000000,,,0,.,.,0.000000,0.000000,,,1,.,.,1.000000,0.000000,,,1,.,.,1.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,*,exons_C21orf58,ALL,*,QUAL,*,1.0,1.0,0.0,1.0,0,0,2975.000000,4,.,.,1.000000,3.000000,,0.333333333333,4,.,.,1.000000,3.000000,,0.333333333333,0,.,.,0.000000,0.000000,,,4,.,.,1.000000,3.000000,,0.333333333333,4,.,.,1.000000,3.000000,,0.333333333333,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,*,exons_C21orf58,PASS,*,QUAL,*,1.0,1.0,0.0,1.0,0,0,2975.000000,4,.,.,1.000000,3.000000,,0.333333333333,4,.,.,1.000000,3.000000,,0.333333333333,0,.,.,0.000000,0.000000,,,4,.,.,1.000000,3.000000,,0.333333333333,4,.,.,1.000000,3.000000,,0.333333333333,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,*,exons_C21orf91,ALL,*,QUAL,*,1.0,1.0,0.8,1.0,0,0,5433.000000,1,.,.,0.000000,1.000000,,0.0,1,.,.,0.000000,1.000000,,0.0,0,.,.,0.000000,0.000000,,,5,.,.,0.000000,5.000000,,0.0,1,.,.,0.000000,1.000000,,0.0,0,.,.,0.000000,0.000000,,,4,.,.,0.000000,4.000000,,0.0
INDEL,*,exons_C21orf91,PASS,*,QUAL,*,1.0,1.0,0.8,1.0,0,0,5433.000000,1,.,.,0.000000,1.000000,,0.0,1,.,.,0.000000,1.000000,,0.0,0,.,.,0.000000,0.000000,,,5,.,.,0.000000,5.000000,,0.0,1,.,.,0.000000,1.000000,,0.0,0,.,.,0.000000,0.000000,,,4,.,.,0.000000,4.000000,,0.0
INDEL,*,exons_C2CD2,ALL,*,QUAL,*,1.0,1.0,0.0,1.0,0,0,6345.000000,1,.,.,0.000000,1.000000,,0.0,1,.,.,0.000000,1.000000,,0.0,0,.,.,0.000000,0.000000,,,1,.,.,0.000000,1.000000,,0.0,1,.,.,0.000000,1.000000,,0.0,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,*,exons_C2CD2,PASS,*,QUAL,*,1.0,1.0,0.0,1.0,0,0,6345.000000,1,.,.,0.000000,1.000000,,0.0,1,.,.,0.000000,1.000000,,0.0,0,.,.,0.000000,0.000000,,,1,.,.,0.000000,1.000000,,0.0,1,.,.,0.000000,1.000000,,0.0,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,*,exons_CHAF1B,ALL,*,QUAL,*,0.0,,1.0,,0,0,4480.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,1,.,.,1.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,1,.,.,1.000000,0.000000,,
INDEL,*,exons_CHAF1B,PASS,*,QUAL,*,0.0,,1.0,,0,0,4480.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,1,.,.,1.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,1,.,.,1.000000,0.000000,,
INDEL,*,exons_CLIC6,ALL,*,QUAL,*,1.0,1.0,0.0,1.0,0,0,3860.000000,2,.,.,2.000000,0.000000,,,2,.,.,2.000000,0.000000,,,0,.,.,0.000000,0.000000,,,2,.,.,2.000000,0.000000,,,2,.,.,2.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,*,exons_CLIC6,PASS,*,QUAL,*,1.0,1.0,0.0,1.0,0,0,3860.000000,2,.,.,2.000000,0.000000,,,2,.,.,2.000000,0.000000,,,0,.,.,0.000000,0.000000,,,2,.,.,2.000000,0.000000,,,2,.,.,2.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
