Type,Subtype,Subset,Filter,Genotype,QQ.Field,QQ,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,FP.gt,FP.al,Subset.Size,TRUTH.TOTAL,TRUTH.TOTAL.ti,TRUTH.TOTAL.tv,TRUTH.TOTAL.het,TRUTH.TOTAL.homalt,TRUTH.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,TRUTH.TP,TRUTH.TP.ti,TRUTH.TP.tv,TRUTH.TP.het,TRUTH.TP.homalt,TRUTH.TP.TiTv_ratio,TRUTH.TP.het_hom_ratio,TRUTH.FN,TRUTH.FN.ti,TRUTH.FN.tv,TRUTH.FN.het,TRUTH.FN.homalt,TRUTH.FN.TiTv_ratio,TRUTH.FN.het_hom_ratio,QUERY.TOTAL,QUERY.TOTAL.ti,QUERY.TOTAL.tv,QUERY.TOTAL.het,QUERY.TOTAL.homalt,QUERY.TOTAL.TiTv_ratio,QUERY.TOTAL.het_hom_ratio,QUERY.TP,QUERY.TP.ti,QUERY.TP.tv,QUERY.TP.het,QUERY.TP.homalt,QUERY.TP.TiTv_ratio,QUERY.TP.het_hom_ratio,QUERY.FP,QUERY.FP.ti,QUERY.FP.tv,QUERY.FP.het,QUERY.FP.homalt,QUERY.FP.TiTv_ratio,QUERY.FP.het_hom_ratio,QUERY.UNK,QUERY.UNK.ti,QUERY.UNK.tv,QUERY.UNK.het,QUERY.UNK.homalt,QUERY.UNK.TiTv_ratio,QUERY.UNK.het_hom_ratio
INDEL,*,*,ALL,*,QUAL,*,0.953392,0.948274,0.437205,0.950826,34,352,0.000000,9140,.,.,5138.000000,3599.000000,,1.427618783,8714,.,.,4870.000000,3523.000000,,1.38234459268,426,.,.,268.000000,76.000000,,3.52631578947,16729,.,.,11502.000000,4818.000000,,2.38729763387,8928,.,.,5217.000000,3570.000000,,1.46134453782,487,.,.,391.000000,82.000000,,4.76829268293,7314,.,.,5894.000000,1166.000000,,5.05488850772
INDEL,*,*,PASS,*,QUAL,*,0.689059,0.969636,0.16129,0.805617,15,146,0.000000,9140,.,.,5138.000000,3599.000000,,1.427618783,6298,.,.,3160.000000,2896.000000,,1.09116022099,2842,.,.,1978.000000,703.000000,,2.81365576102,7657,.,.,4356.000000,3178.000000,,1.37067337948,6227,.,.,3277.000000,2889.000000,,1.13430252683,195,.,.,154.000000,35.000000,,4.4,1235,.,.,925.000000,254.000000,,3.64173228346
INDEL,*,exons,ALL,*,QUAL,*,0.916667,0.954128,0.198529,0.935022,1,4,638583.000000,108,.,.,55.000000,48.000000,,1.14583333333,99,.,.,47.000000,47.000000,,1.0,9,.,.,8.000000,1.000000,,8.0,136,.,.,81.000000,54.000000,,1.5,104,.,.,57.000000,47.000000,,1.21276595745,5,.,.,3.000000,2.000000,,1.5,27,.,.,21.000000,5.000000,,4.2
INDEL,*,exons,PASS,*,QUAL,*,0.722222,0.974684,0.036585,0.829673,1,1,638583.000000,108,.,.,55.000000,48.000000,,1.14583333333,78,.,.,33.000000,40.000000,,0.825,30,.,.,22.000000,8.000000,,2.75,82,.,.,39.000000,43.000000,,0.906976744186,77,.,.,37.000000,40.000000,,0.925,2,.,.,0.000000,2.000000,,0.0,3,.,.,2.000000,1.000000,,2.0
INDEL,*,exons_ABCG1,ALL,*,QUAL,*,1.0,1.0,0.0,1.0,0,0,3475.000000,1,.,.,1.000000,0.000000,,,1,.,.,1.000000,0.000000,,,0,.,.,0.000000,0.000000,,,1,.,.,1.000000,0.000000,,,1,.,.,1.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,*,exons_ABCG1,PASS,*,QUAL,*,0.0,0.0,0.0,,0,0,3475.000000,1,.,.,1.000000,0.000000,,,0,.,.,0.000000,0.000000,,,1,.,.,1.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,*,exons_ADAMTS1,ALL,*,QUAL,*,1.0,1.0,0.0,1.0,0,0,5191.000000,1,.,.,1.000000,0.000000,,,1,.,.,1.000000,0.000000,,,0,.,.,0.000000,0.000000,,,1,.,.,1.000000,0.000000,,,1,.,.,1.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,*,exons_ADAMTS1,PASS,*,QUAL,*,1.0,1.0,0.0,1.0,0,0,5191.000000,1,.,.,1.000000,0.000000,,,1,.,.,1.000000,0.000000,,,0,.,.,0.000000,0.000000,,,1,.,.,1.000000,0.000000,,,1,.,.,1.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,*,exons_ADAMTS5,ALL,*,QUAL,*,1.0,1.0,0.0,1.0,0,0,9056.000000,2,.,.,2.000000,0.000000,,,2,.,.,2.000000,0.000000,,,0,.,.,0.000000,0.000000,,,2,.,.,2.000000,0.000000,,,2,.,.,2.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,*,exons_ADAMTS5,PASS,*,QUAL,*,0.5,1.0,0.0,0.666667,0,0,9056.000000,2,.,.,2.000000,0.000000,,,1,.,.,1.000000,0.000000,,,1,.,.,1.000000,0.000000,,,1,.,.,1.000000,0.000000,,,1,.,.,1.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
