Type,Subtype,Subset,Filter,Genotype,QQ.Field,QQ,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.TP,QUERY.FP,QUERY.UNK,FP.gt,FP.al,TRUTH.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,TRUTH.FN.TiTv_ratio,TRUTH.FN.het_hom_ratio,TRUTH.TP.TiTv_ratio,TRUTH.TP.het_hom_ratio,QUERY.FP.TiTv_ratio,QUERY.FP.het_hom_ratio,QUERY.TP.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,QUERY.TOTAL.het_hom_ratio,QUERY.TP.het_hom_ratio,QUERY.UNK.TiTv_ratio,QUERY.UNK.het_hom_ratio
SNP,*,*,ALL,*,QUAL,0.000000,0.974708,0.985726,0.34566199999999997,0.49009300000000006,44361,43239,1122,67025,43231,626,23168,71,306,0.495158,1.5998940000000001,0.508423,3.087591,0.494834,1.5756,0.481771,1.975728,0.494796,0.491275,2.346954,1.576224,0.477814,6.660033
SNP,*,*,ALL,*,QUAL,10.290000,0.972634,0.985699,0.346086,0.48956099999999997,44361,43147,1214,66940,43147,626,23167,71,306,,,,,,,,,,,,,,
SNP,*,*,ALL,*,QUAL,100.559998,0.9725659999999999,0.98572,0.34116599999999997,0.48955,44361,43144,1217,66434,43144,625,22665,71,306,,,,,,,,,,,,,,
SNP,*,*,ALL,*,QUAL,1000.390015,0.9702440000000001,0.9864780000000001,0.30983299999999997,0.489147,44361,43041,1320,63218,43041,590,19587,68,296,,,,,,,,,,,,,,
SNP,*,*,ALL,*,QUAL,10000.700195,0.696783,0.990864,0.238379,0.40910100000000005,44361,30910,13451,40960,30911,285,9764,38,150,,,,,,,,,,,,,,
SNP,*,*,ALL,*,QUAL,10003.099609,0.696716,0.9908629999999999,0.238378,0.409077,44361,30907,13454,40956,30908,285,9763,38,150,,,,,,,,,,,,,,
SNP,*,*,ALL,*,QUAL,100035.000000,0.00257,0.857143,0.7629229999999999,0.002562,44361,114,44247,561,114,19,428,14,0,,,,,,,,,,,,,,
SNP,*,*,ALL,*,QUAL,10005.700195,0.69667,0.9908620000000001,0.238377,0.409061,44361,30905,13456,40952,30905,285,9762,38,150,,,,,,,,,,,,,,
SNP,*,*,ALL,*,QUAL,100068.000000,0.00257,0.857143,0.7625,0.002562,44361,114,44247,560,114,19,427,14,0,,,,,,,,,,,,,,
SNP,*,*,ALL,*,QUAL,10007.700195,0.696603,0.9908620000000001,0.23837600000000003,0.409038,44361,30902,13459,40948,30902,285,9761,38,150,,,,,,,,,,,,,,
