Type,Subtype,Subset,Filter,Genotype,QQ.Field,QQ,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.TP,QUERY.FP,QUERY.UNK,FP.gt,FP.al,TRUTH.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,TRUTH.FN.TiTv_ratio,TRUTH.FN.het_hom_ratio,TRUTH.TP.TiTv_ratio,TRUTH.TP.het_hom_ratio,QUERY.FP.TiTv_ratio,QUERY.FP.het_hom_ratio,QUERY.TP.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,QUERY.TOTAL.het_hom_ratio,QUERY.TP.het_hom_ratio,QUERY.UNK.TiTv_ratio,QUERY.UNK.het_hom_ratio
INDEL,*,*,PASS,*,QUAL,0.000000,0.942333,0.9370430000000001,0.306206,0.46984,16734,15769,965,24268,15777,1060,7431,31,546,.,3.5709150000000003,.,7.017391,.,3.4577379999999995,.,2.421769,.,.,3.7657529999999997,3.451539,.,5.016708
INDEL,*,*,PASS,*,QUAL,1000.530029,0.933369,0.94224,0.27461199999999997,0.46889200000000003,16734,15619,1115,22865,15628,958,6279,30,511,.,,.,,.,,.,,.,.,,,.,
INDEL,*,*,PASS,*,QUAL,10000.799805,0.574399,0.9618110000000001,0.22343000000000002,0.359628,16734,9612,7122,12881,9621,382,2878,10,213,.,,.,,.,,.,,.,.,,,.,
INDEL,*,*,PASS,*,QUAL,10002.599609,0.57422,0.9618,0.22348200000000001,0.359556,16734,9609,7125,12878,9618,382,2878,10,213,.,,.,,.,,.,,.,.,,,.,
INDEL,*,*,PASS,*,QUAL,10007.099609,0.57422,0.961792,0.223517,0.359555,16734,9609,7125,12876,9616,382,2878,10,213,.,,.,,.,,.,,.,.,,,.,
INDEL,*,*,PASS,*,QUAL,10009.599609,0.57416,0.9617889999999999,0.22347399999999998,0.359531,16734,9608,7126,12874,9615,382,2877,10,213,.,,.,,.,,.,,.,.,,,.,
INDEL,*,*,PASS,*,QUAL,10011.099609,0.574101,0.961785,0.223491,0.359507,16734,9607,7127,12873,9614,382,2877,10,213,.,,.,,.,,.,,.,.,,,.,
INDEL,*,*,PASS,*,QUAL,10012.900391,0.5739810000000001,0.961785,0.223491,0.35946,16734,9605,7129,12873,9614,382,2877,10,213,.,,.,,.,,.,,.,.,,,.,
INDEL,*,*,PASS,*,QUAL,10015.599609,0.5739810000000001,0.961873,0.223543,0.35947199999999996,16734,9605,7129,12870,9612,381,2877,10,213,.,,.,,.,,.,,.,.,,,.,
INDEL,*,*,PASS,*,QUAL,10017.900391,0.573802,0.9618620000000001,0.223595,0.3594,16734,9602,7132,12867,9609,381,2877,10,213,.,,.,,.,,.,,.,.,,,.,
INDEL,*,*,PASS,*,QUAL,10019.000000,0.573742,0.9618620000000001,0.22353499999999998,0.359377,16734,9601,7133,12866,9609,381,2876,10,213,.,,.,,.,,.,,.,.,,,.,
INDEL,*,*,PASS,*,QUAL,1002.020020,0.933369,0.9422940000000001,0.274636,0.468905,16734,15619,1115,22863,15627,957,6279,30,510,.,,.,,.,,.,,.,.,,,.,
INDEL,*,*,PASS,*,QUAL,10020.099609,0.573742,0.9618620000000001,0.223475,0.359377,16734,9601,7133,12865,9609,381,2875,10,213,.,,.,,.,,.,,.,.,,,.,
INDEL,*,*,PASS,*,QUAL,10022.799805,0.573623,0.96185,0.223527,0.35932800000000004,16734,9599,7135,12862,9606,381,2875,10,213,.,,.,,.,,.,,.,.,,,.,
INDEL,*,*,PASS,*,QUAL,10025.400391,0.573563,0.9619469999999999,0.223544,0.35931799999999997,16734,9598,7136,12861,9606,380,2875,10,213,.,,.,,.,,.,,.,.,,,.,
INDEL,*,*,PASS,*,QUAL,10026.700195,0.573324,0.961935,0.22359600000000002,0.359223,16734,9594,7140,12858,9603,380,2875,10,213,.,,.,,.,,.,,.,.,,,.,
INDEL,*,*,PASS,*,QUAL,10029.599609,0.573324,0.9619280000000001,0.223631,0.359222,16734,9594,7140,12856,9601,380,2875,10,213,.,,.,,.,,.,,.,.,,,.,
INDEL,*,*,PASS,*,QUAL,10031.900391,0.573144,0.961916,0.223683,0.35915,16734,9591,7143,12853,9598,380,2875,10,213,.,,.,,.,,.,,.,.,,,.,
INDEL,*,*,PASS,*,QUAL,10033.799805,0.572965,0.961909,0.223658,0.359078,16734,9588,7146,12850,9596,380,2874,10,213,.,,.,,.,,.,,.,.,,,.,
INDEL,*,*,PASS,*,QUAL,10038.700195,0.572965,0.9619049999999999,0.223675,0.359078,16734,9588,7146,12849,9595,380,2874,10,213,.,,.,,.,,.,,.,.,,,.,
INDEL,*,*,PASS,*,QUAL,10040.700195,0.572846,0.961901,0.22363200000000003,0.35903,16734,9586,7148,12847,9594,380,2873,10,213,.,,.,,.,,.,,.,.,,,.,
INDEL,*,*,PASS,*,QUAL,10049.599609,0.572786,0.961994,0.223667,0.35902,16734,9585,7149,12845,9593,379,2873,10,212,.,,.,,.,,.,,.,.,,,.,
INDEL,*,*,PASS,*,QUAL,1005.059998,0.933369,0.94229,0.274648,0.468904,16734,15619,1115,22862,15626,957,6279,30,510,.,,.,,.,,.,,.,.,,,.,
INDEL,*,*,PASS,*,QUAL,10053.200195,0.572786,0.961994,0.223546,0.35902,16734,9585,7149,12843,9593,379,2871,10,212,.,,.,,.,,.,,.,.,,,.,
INDEL,*,*,PASS,*,QUAL,10056.200195,0.572786,0.96199,0.223563,0.35901900000000003,16734,9585,7149,12842,9592,379,2871,10,212,.,,.,,.,,.,,.,.,,,.,
INDEL,*,*,PASS,*,QUAL,1006.090027,0.933309,0.9424040000000001,0.27464,0.46891700000000003,16734,15618,1116,22859,15626,955,6278,30,510,.,,.,,.,,.,,.,.,,,.,
INDEL,*,*,PASS,*,QUAL,10061.799805,0.5727260000000001,0.961986,0.223581,0.358995,16734,9584,7150,12841,9591,379,2871,10,212,.,,.,,.,,.,,.,.,,,.,
INDEL,*,*,PASS,*,QUAL,10064.700195,0.572666,0.962082,0.22353800000000001,0.358985,16734,9583,7151,12839,9591,378,2870,10,212,.,,.,,.,,.,,.,.,,,.,
INDEL,*,*,PASS,*,QUAL,10066.700195,0.572547,0.9620709999999999,0.22359,0.358937,16734,9581,7153,12836,9588,378,2870,10,212,.,,.,,.,,.,,.,.,,,.,
INDEL,*,*,PASS,*,QUAL,10069.099609,0.572487,0.962067,0.22360700000000003,0.35891300000000004,16734,9580,7154,12835,9587,378,2870,10,212,.,,.,,.,,.,,.,.,,,.,
INDEL,*,*,PASS,*,QUAL,10070.700195,0.572368,0.9620629999999999,0.22356399999999998,0.358865,16734,9578,7156,12833,9586,378,2869,10,212,.,,.,,.,,.,,.,.,,,.,
INDEL,*,*,PASS,*,QUAL,10072.099609,0.572188,0.9620559999999999,0.22359899999999996,0.358794,16734,9575,7159,12831,9584,378,2869,10,212,.,,.,,.,,.,,.,.,,,.,
INDEL,*,*,PASS,*,QUAL,100724.000000,0.00011999999999999999,0.4,0.9532709999999999,0.00011899999999999999,16734,2,16732,107,2,3,102,2,0,.,,.,,.,,.,,.,.,,,.,
INDEL,*,*,PASS,*,QUAL,10075.000000,0.5720689999999999,0.9620479999999999,0.22363400000000003,0.358746,16734,9573,7161,12829,9582,378,2869,10,212,.,,.,,.,,.,,.,.,,,.,
INDEL,*,*,PASS,*,QUAL,10076.599609,0.572009,0.962037,0.22368600000000002,0.358721,16734,9572,7162,12826,9579,378,2869,10,212,.,,.,,.,,.,,.,.,,,.,
INDEL,*,*,PASS,*,QUAL,10079.599609,0.5719489999999999,0.962033,0.223704,0.358697,16734,9571,7163,12825,9578,378,2869,10,212,.,,.,,.,,.,,.,.,,,.,
INDEL,*,*,PASS,*,QUAL,10081.799805,0.5718300000000001,0.962025,0.223739,0.358648,16734,9569,7165,12823,9576,378,2869,10,212,.,,.,,.,,.,,.,.,,,.,
INDEL,*,*,PASS,*,QUAL,10082.900391,0.571651,0.9620139999999999,0.223791,0.358576,16734,9566,7168,12820,9573,378,2869,10,212,.,,.,,.,,.,,.,.,,,.,
INDEL,*,*,PASS,*,QUAL,10085.099609,0.571591,0.96201,0.22380799999999998,0.358552,16734,9565,7169,12819,9572,378,2869,10,212,.,,.,,.,,.,,.,.,,,.,
INDEL,*,*,PASS,*,QUAL,10087.700195,0.571411,0.9619989999999999,0.223861,0.35848,16734,9562,7172,12816,9569,378,2869,10,212,.,,.,,.,,.,,.,.,,,.,
INDEL,*,*,PASS,*,QUAL,10089.700195,0.571292,0.9619989999999999,0.223861,0.358433,16734,9560,7174,12816,9569,378,2869,10,212,.,,.,,.,,.,,.,.,,,.,
INDEL,*,*,PASS,*,QUAL,1009.809998,0.933309,0.9424040000000001,0.274608,0.46891700000000003,16734,15618,1116,22858,15626,955,6277,30,510,.,,.,,.,,.,,.,.,,,.,
INDEL,*,*,PASS,*,QUAL,10091.099609,0.571172,0.961991,0.223896,0.358385,16734,9558,7176,12814,9567,378,2869,10,212,.,,.,,.,,.,,.,.,,,.,
INDEL,*,*,PASS,*,QUAL,10093.599609,0.5710529999999999,0.9619790000000001,0.223888,0.358336,16734,9556,7178,12810,9564,378,2868,10,212,.,,.,,.,,.,,.,.,,,.,
INDEL,*,*,PASS,*,QUAL,10096.799805,0.570933,0.961976,0.22390500000000002,0.35828899999999997,16734,9554,7180,12809,9563,378,2868,10,212,.,,.,,.,,.,,.,.,,,.,
INDEL,*,*,PASS,*,QUAL,10099.000000,0.570874,0.9619639999999999,0.22389699999999998,0.35826399999999997,16734,9553,7181,12805,9560,378,2867,10,212,.,,.,,.,,.,,.,.,,,.,
INDEL,*,*,PASS,*,QUAL,101.320000,0.937672,0.937198,0.303319,0.468717,16734,15691,1043,24044,15699,1052,7293,31,542,.,,.,,.,,.,,.,.,,,.,
INDEL,*,*,PASS,*,QUAL,10101.299805,0.570814,0.962061,0.22391399999999997,0.35825300000000004,16734,9552,7182,12804,9560,377,2867,10,212,.,,.,,.,,.,,.,.,,,.,
INDEL,*,*,PASS,*,QUAL,10103.599609,0.570754,0.9621540000000001,0.22388899999999998,0.358243,16734,9551,7183,12801,9559,376,2866,10,212,.,,.,,.,,.,,.,.,,,.,
INDEL,*,*,PASS,*,QUAL,10105.599609,0.570754,0.9621540000000001,0.22382800000000003,0.358243,16734,9551,7183,12800,9559,376,2865,10,212,.,,.,,.,,.,,.,.,,,.,
INDEL,*,*,PASS,*,QUAL,10106.799805,0.570754,0.962247,0.223802,0.358256,16734,9551,7183,12797,9558,375,2864,10,212,.,,.,,.,,.,,.,.,,,.,
INDEL,*,*,PASS,*,QUAL,101079.000000,0.00011999999999999999,0.4,0.95283,0.00011899999999999999,16734,2,16732,106,2,3,101,2,0,.,,.,,.,,.,,.,.,,,.,
INDEL,*,*,PASS,*,QUAL,10108.099609,0.5706939999999999,0.9622430000000001,0.223759,0.358232,16734,9550,7184,12795,9557,375,2863,10,212,.,,.,,.,,.,,.,.,,,.,
INDEL,*,*,PASS,*,QUAL,10109.599609,0.570575,0.9622430000000001,0.223759,0.358185,16734,9548,7186,12795,9557,375,2863,10,212,.,,.,,.,,.,,.,.,,,.,
INDEL,*,*,PASS,*,QUAL,1011.030029,0.93325,0.9424,0.27458899999999997,0.468901,16734,15617,1117,22856,15625,955,6276,30,510,.,,.,,.,,.,,.,.,,,.,
INDEL,*,*,PASS,*,QUAL,10111.099609,0.570515,0.962232,0.22381199999999998,0.358159,16734,9547,7187,12792,9554,375,2863,10,212,.,,.,,.,,.,,.,.,,,.,
