19:15560662-15560862	#WIZ, ratio=0.0016936
17:7788022-7788222	#CHD3, ratio=0.00236143
3:184097760-184097960	#CHRD, ratio=0.0027067
16:1203140-1203340	#CACNA1H, ratio=0.00415175
7:97910878-97911078	#BRI3, ratio=0.00469621
20:62601118-62601318	#ZNF512B, ratio=0.00486878
22:51039030-51039230	#MAPK8IP2, ratio=0.0051741
7:139477593-139477793	#HIPK2, ratio=0.00610759
21:44073761-44073961	#PDE9A, ratio=0.00669556
15:23086336-23086536	#NIPA1, ratio=0.00714839
1:22263650-22263850	#HSPG2, ratio=0.00719683
1:160068518-160068718	#IGSF8, ratio=0.00752226
17:76921372-76921572	#TIMP2, ratio=0.00795431
19:55795433-55795633	#BRSK1, ratio=0.00947193
19:3062271-3062471	#AES, ratio=0.00972521
19:589792-589992	#HCN2, ratio=0.0103151
11:64001955-64002155	#VEGFB, ratio=0.0103722
17:79989431-79989631	#RAC3, ratio=0.0105423
17:55333830-55334030	#MSI2, ratio=0.0110555
21:46824996-46825196	#COL18A1, ratio=0.0111309
2:99347489-99347689	#MGAT4A, ratio=0.012556
19:708852-709052	#PALM, ratio=0.0131925
2:105471868-105472068	#POU3F3, ratio=0.0140976
12:123319938-123320138	#HIP1R, ratio=0.0141746
5:167956481-167956681	#FBLL1, ratio=0.0151935
12:53774327-53774527	#SP1, ratio=0.0154143
5:176900594-176900794	#DBN1, ratio=0.0155677
7:74378982-74379182	#GATSL1, ratio=0.0155711
7:5322460-5322660	#SLC29A4, ratio=0.0157672
9:137218215-137218415	#RXRA, ratio=0.016186
22:50624259-50624459	#TRABD, ratio=0.0162708
9:132934756-132934956	#NCS1, ratio=0.0164287
3:176914948-176915148	#TBL1XR1, ratio=0.0166262
2:42795570-42795770	#MTA3, ratio=0.0169323
11:627073-627273	#SCT, ratio=0.0172459
22:38794831-38795031	#LOC400927, ratio=0.0176155
16:30107421-30107621	#YPEL3, ratio=0.0176226
19:18654283-18654483	#FKBP8, ratio=0.0179103
14:105331549-105331749	#KIAA0284, ratio=0.01821
10:103535659-103535859	#FGF8, ratio=0.0182828
19:46476557-46476757	#NOVA2, ratio=0.0182869
20:2673423-2673623	#EBF4, ratio=0.0188151
8:141645546-141645746	#EIF2C2, ratio=0.0188974
1:242687898-242688098	#PLD5, ratio=0.0190581
7:65338156-65338356	#VKORC1L1, ratio=0.0192043
18:55102816-55103016	#ONECUT2, ratio=0.0194655
7:1272553-1272753	#UNCX, ratio=0.0199145
16:2570262-2570462	#AMDHD2, ratio=0.0213273
10:75634249-75634449	#CAMK2G, ratio=0.0213433
11:369694-369894	#B4GALNT4, ratio=0.0213525
19:10046970-10047170	#OLFM2, ratio=0.0213731
19:1567957-1568157	#MEX3D, ratio=0.0218223
4:1005509-1005709	#FGFRL1, ratio=0.0222686
1:206858264-206858464	#MAPKAPK2, ratio=0.0224752
10:134000313-134000513	#DPYSL4, ratio=0.0232305
7:4998744-4998944	#MMD2, ratio=0.0233014
5:16179797-16179997	#MARCH11, ratio=0.0242153
1:31381380-31381580	#SDC3, ratio=0.0249404
8:22550715-22550915	#EGR3, ratio=0.0258766
6:44095091-44095291	#MRPL14, ratio=0.0260601
9:129089022-129089222	#FAM125B, ratio=0.0262406
X:129244588-129244788	#ELF4, ratio=0.0264584
X:101397288-101397488	#TCEAL6, ratio=0.0270349
6:12012623-12012823	#HIVEP1, ratio=0.0270567
16:58231682-58231882	#CSNK2A2, ratio=0.0273249
1:1475640-1475840	#TMEM240, ratio=0.0283081
11:17035863-17036063	#PLEKHA7, ratio=0.0289535
9:116638461-116638661	#ZNF618, ratio=0.029324
X:2418908-2419108	#ZBED1, ratio=0.0297978
12:132379178-132379378	#ULK1, ratio=0.0301497
17:7311401-7311601	#NLGN2, ratio=0.0310301
22:39853224-39853424	#MGAT3, ratio=0.03109
2:235860527-235860727	#SH3BP4, ratio=0.0314152
2:191513747-191513947	#NAB1, ratio=0.0316446
22:21771592-21771792	#HIC2, ratio=0.0317428
X:2418915-2419115	#DHRSX, ratio=0.0321304
2:16847034-16847234	#FAM49A, ratio=0.0328879
17:62658286-62658486	#SMURF2, ratio=0.0334364
16:431850-432050	#TMEM8A, ratio=0.0337354
17:1083066-1083266	#ABR, ratio=0.0338772
16:67464935-67465135	#HSD11B2, ratio=0.0340105
1:27022421-27022621	#ARID1A, ratio=0.034057
12:58148780-58148980	#MARCH9, ratio=0.0343803
9:123639506-123639706	#PHF19, ratio=0.034438
1:154975005-154975205	#ZBTB7B, ratio=0.0344556
6:170124006-170124206	#PHF10, ratio=0.0351568
17:56160679-56160879	#DYNLL2, ratio=0.0359179
12:7037379-7037579	#ATN1, ratio=0.036903
21:45681999-45682199	#DNMT3L, ratio=0.036995
20:61493015-61493215	#TCFL5, ratio=0.03744
17:81037466-81037666	#METRNL, ratio=0.037553
